No Reflex Airfoil ... Boria July 10, 2006
0	0
0.025	0.01894
0.05	0.034219
0.075	0.046043
0.1	0.054827
0.125	0.06107
0.15	0.06528
0.175	0.067924
0.2	0.069398
0.225	0.070018
0.25	0.070019
0.275	0.069562
0.3	0.068747
0.325	0.067625
0.35	0.066217
0.375	0.064526
0.4	0.062547
0.425	0.060279
0.45	0.05773
0.475	0.054917
0.5	0.051872
0.525	0.048636
0.55	0.045258
0.575	0.041789
0.6	0.03828
0.625	0.034775
0.65	0.031309
0.675	0.02791
0.7	0.024595
0.725	0.021374
0.75	0.018257
0.775	0.015257
0.8	0.012396
0.825	0.009714
0.85	0.007265
0.875	0.005122
0.9	0.003359
0.925	0.002035
0.95	0.001153
0.975	0.0006
1	0
